path,resolution,series,sys_id,img_id,short_name,format,long_name
2000/watercolour_sys02_img43_torn-and-frayed.jpg,2000,watercolour,sys02,img43,torn-and-frayed,jpg,Torn and Frayed
2000/watercolour_sys02_img43_torn-and-frayed.png,2000,watercolour,sys02,img43,torn-and-frayed,png,Torn and Frayed
2000/watercolour_sys02_img47_inferno.jpg,2000,watercolour,sys02,img47,inferno,jpg,Seventh Circle
2000/watercolour_sys02_img47_inferno.png,2000,watercolour,sys02,img47,inferno,png,Seventh Circle
2000/watercolour_sys02_img48_storm-cell.jpg,2000,watercolour,sys02,img48,storm-cell,jpg,Storm Cell / Air Elemental
2000/watercolour_sys02_img48_storm-cell.png,2000,watercolour,sys02,img48,storm-cell,png,Storm Cell / Air Elemental
2000/watercolour_sys02_img49_tonal-earth.jpg,2000,watercolour,sys02,img49,tonal-earth,jpg,Tonal Earth
2000/watercolour_sys02_img49_tonal-earth.png,2000,watercolour,sys02,img49,tonal-earth,png,Tonal Earth
2000/watercolour_sys02_img50_cold-front.png,2000,watercolour,sys02,img50,cold-front,png,Cold Front
2000/watercolour_sys02_img51_kintsugi-dreams.jpg,2000,watercolour,sys02,img51,kintsugi-dreams,jpg,Kintsugi Dreams
2000/watercolour_sys02_img51_kintsugi-dreams.png,2000,watercolour,sys02,img51,kintsugi-dreams,png,Kintsugi Dreams
2000/watercolour_sys02_img53_departure.jpg,2000,watercolour,sys02,img53,departure,jpg,Departure
2000/watercolour_sys02_img53_departure.png,2000,watercolour,sys02,img53,departure,png,Departure
2000/watercolour_sys02_img54_echo.jpg,2000,watercolour,sys02,img54,echo,jpg,Echo
2000/watercolour_sys02_img54_echo.png,2000,watercolour,sys02,img54,echo,png,Echo
2000/watercolour_sys02_img57_portal.jpg,2000,watercolour,sys02,img57,portal,jpg,Portal
2000/watercolour_sys02_img57_portal.png,2000,watercolour,sys02,img57,portal,png,Portal
2000/watercolour_sys02_img60_salt-stone-storm.jpg,2000,watercolour,sys02,img60,salt-stone-storm,jpg,"Gods of Salt, Stone, and Storm"
2000/watercolour_sys02_img60_salt-stone-storm.png,2000,watercolour,sys02,img60,salt-stone-storm,png,"Gods of Salt, Stone, and Storm"
2000/watercolour_sys02_img61_amanecer-de-invierno.jpg,2000,watercolour,sys02,img61,amanecer-de-invierno,jpg,El Último Amanecer de Invierno
2000/watercolour_sys02_img61_amanecer-de-invierno.png,2000,watercolour,sys02,img61,amanecer-de-invierno,png,El Último Amanecer de Invierno
2000/watercolour_sys02_img67_woodland-spirits.jpg,2000,watercolour,sys02,img67,woodland-spirits,jpg,Woodland Spirits
2000/watercolour_sys02_img67_woodland-spirits.png,2000,watercolour,sys02,img67,woodland-spirits,png,Woodland Spirits
4000/watercolour_sys02_img31_incursions.jpg,4000,watercolour,sys02,img31,incursions,jpg,Incursions
4000/watercolour_sys02_img31_incursions.png,4000,watercolour,sys02,img31,incursions,png,Incursions
4000/watercolour_sys02_img32_percolate.jpg,4000,watercolour,sys02,img32,percolate,jpg,Percolate
4000/watercolour_sys02_img32_percolate.png,4000,watercolour,sys02,img32,percolate,png,Percolate
4000/watercolour_sys02_img34_teacup-ocean.jpg,4000,watercolour,sys02,img34,teacup-ocean,jpg,Ocean in a Teacup
4000/watercolour_sys02_img34_teacup-ocean.png,4000,watercolour,sys02,img34,teacup-ocean,png,Ocean in a Teacup
4000/watercolour_sys02_img37_gentle-descent.jpg,4000,watercolour,sys02,img37,gentle-descent,jpg,Gentle Descent
4000/watercolour_sys02_img37_gentle-descent.png,4000,watercolour,sys02,img37,gentle-descent,png,Gentle Descent
4000/watercolour_sys02_img41_stormy-seas.jpg,4000,watercolour,sys02,img41,stormy-seas,jpg,Stormy Seas
4000/watercolour_sys02_img41_stormy-seas.png,4000,watercolour,sys02,img41,stormy-seas,png,Stormy Seas
4000/watercolour_sys02_img42_turmeric.jpg,4000,watercolour,sys02,img42,turmeric,jpg,Turmeric Against Grey Tuesday
4000/watercolour_sys02_img42_turmeric.png,4000,watercolour,sys02,img42,turmeric,png,Turmeric Against Grey Tuesday
4000/watercolour_sys02_img43_torn-and-frayed.jpg,4000,watercolour,sys02,img43,torn-and-frayed,jpg,Torn and Frayed
4000/watercolour_sys02_img43_torn-and-frayed.png,4000,watercolour,sys02,img43,torn-and-frayed,png,Torn and Frayed
4000/watercolour_sys02_img47_inferno.jpg,4000,watercolour,sys02,img47,inferno,jpg,Seventh Circle
4000/watercolour_sys02_img47_inferno.png,4000,watercolour,sys02,img47,inferno,png,Seventh Circle
4000/watercolour_sys02_img48_storm-cell.jpg,4000,watercolour,sys02,img48,storm-cell,jpg,Storm Cell / Air Elemental
4000/watercolour_sys02_img48_storm-cell.png,4000,watercolour,sys02,img48,storm-cell,png,Storm Cell / Air Elemental
4000/watercolour_sys02_img49_tonal-earth.jpg,4000,watercolour,sys02,img49,tonal-earth,jpg,Tonal Earth
4000/watercolour_sys02_img49_tonal-earth.png,4000,watercolour,sys02,img49,tonal-earth,png,Tonal Earth
4000/watercolour_sys02_img51_kintsugi-dreams.jpg,4000,watercolour,sys02,img51,kintsugi-dreams,jpg,Kintsugi Dreams
4000/watercolour_sys02_img51_kintsugi-dreams.png,4000,watercolour,sys02,img51,kintsugi-dreams,png,Kintsugi Dreams
4000/watercolour_sys02_img53_departure.jpg,4000,watercolour,sys02,img53,departure,jpg,Departure
4000/watercolour_sys02_img53_departure.png,4000,watercolour,sys02,img53,departure,png,Departure
4000/watercolour_sys02_img54_echo.jpg,4000,watercolour,sys02,img54,echo,jpg,Echo
4000/watercolour_sys02_img54_echo.png,4000,watercolour,sys02,img54,echo,png,Echo
4000/watercolour_sys02_img57_portal.jpg,4000,watercolour,sys02,img57,portal,jpg,Portal
4000/watercolour_sys02_img57_portal.png,4000,watercolour,sys02,img57,portal,png,Portal
4000/watercolour_sys02_img60_salt-stone-storm.jpg,4000,watercolour,sys02,img60,salt-stone-storm,jpg,"Gods of Salt, Stone, and Storm"
4000/watercolour_sys02_img60_salt-stone-storm.png,4000,watercolour,sys02,img60,salt-stone-storm,png,"Gods of Salt, Stone, and Storm"
4000/watercolour_sys02_img61_amanecer-de-invierno.jpg,4000,watercolour,sys02,img61,amanecer-de-invierno,jpg,El Último Amanecer de Invierno
4000/watercolour_sys02_img61_amanecer-de-invierno.png,4000,watercolour,sys02,img61,amanecer-de-invierno,png,El Último Amanecer de Invierno
4000/watercolour_sys02_img67_woodland-spirits.jpg,4000,watercolour,sys02,img67,woodland-spirits,jpg,Woodland Spirits
4000/watercolour_sys02_img67_woodland-spirits.png,4000,watercolour,sys02,img67,woodland-spirits,png,Woodland Spirits
500/watercolour_sys02_img31_incursions.jpg,500,watercolour,sys02,img31,incursions,jpg,Incursions
500/watercolour_sys02_img31_incursions.png,500,watercolour,sys02,img31,incursions,png,Incursions
500/watercolour_sys02_img32_percolate.jpg,500,watercolour,sys02,img32,percolate,jpg,Percolate
500/watercolour_sys02_img32_percolate.png,500,watercolour,sys02,img32,percolate,png,Percolate
500/watercolour_sys02_img34_teacup-ocean.jpg,500,watercolour,sys02,img34,teacup-ocean,jpg,Ocean in a Teacup
500/watercolour_sys02_img34_teacup-ocean.png,500,watercolour,sys02,img34,teacup-ocean,png,Ocean in a Teacup
500/watercolour_sys02_img37_gentle-descent.jpg,500,watercolour,sys02,img37,gentle-descent,jpg,Gentle Descent
500/watercolour_sys02_img37_gentle-descent.png,500,watercolour,sys02,img37,gentle-descent,png,Gentle Descent
500/watercolour_sys02_img41_stormy-seas.jpg,500,watercolour,sys02,img41,stormy-seas,jpg,Stormy Seas
500/watercolour_sys02_img41_stormy-seas.png,500,watercolour,sys02,img41,stormy-seas,png,Stormy Seas
500/watercolour_sys02_img42_turmeric.jpg,500,watercolour,sys02,img42,turmeric,jpg,Turmeric Against Grey Tuesday
500/watercolour_sys02_img42_turmeric.png,500,watercolour,sys02,img42,turmeric,png,Turmeric Against Grey Tuesday
500/watercolour_sys02_img43_torn-and-frayed.jpg,500,watercolour,sys02,img43,torn-and-frayed,jpg,Torn and Frayed
500/watercolour_sys02_img43_torn-and-frayed.png,500,watercolour,sys02,img43,torn-and-frayed,png,Torn and Frayed
500/watercolour_sys02_img47_inferno.jpg,500,watercolour,sys02,img47,inferno,jpg,Seventh Circle
500/watercolour_sys02_img47_inferno.png,500,watercolour,sys02,img47,inferno,png,Seventh Circle
500/watercolour_sys02_img48_storm-cell.jpg,500,watercolour,sys02,img48,storm-cell,jpg,Storm Cell / Air Elemental
500/watercolour_sys02_img48_storm-cell.png,500,watercolour,sys02,img48,storm-cell,png,Storm Cell / Air Elemental
500/watercolour_sys02_img49_tonal-earth.jpg,500,watercolour,sys02,img49,tonal-earth,jpg,Tonal Earth
500/watercolour_sys02_img49_tonal-earth.png,500,watercolour,sys02,img49,tonal-earth,png,Tonal Earth
500/watercolour_sys02_img50_cold-front.jpg,500,watercolour,sys02,img50,cold-front,jpg,Cold Front
500/watercolour_sys02_img50_cold-front.png,500,watercolour,sys02,img50,cold-front,png,Cold Front
500/watercolour_sys02_img51_kintsugi-dreams.jpg,500,watercolour,sys02,img51,kintsugi-dreams,jpg,Kintsugi Dreams
500/watercolour_sys02_img51_kintsugi-dreams.png,500,watercolour,sys02,img51,kintsugi-dreams,png,Kintsugi Dreams
500/watercolour_sys02_img53_departure.jpg,500,watercolour,sys02,img53,departure,jpg,Departure
500/watercolour_sys02_img53_departure.png,500,watercolour,sys02,img53,departure,png,Departure
500/watercolour_sys02_img54_echo.jpg,500,watercolour,sys02,img54,echo,jpg,Echo
500/watercolour_sys02_img54_echo.png,500,watercolour,sys02,img54,echo,png,Echo
